YYYY MM DD HH MI T    L0    B0   CMD LLL.L BBB.B M Q SS GROUP    MEASURER   MOD_L MOD_B SIGMA DELTA UMB A
1611 10 21 09 30 1 125.3   4.9 -23.9 101.4   6.7 H 3  7 281      pavai        NaN   NaN   NaN 23.8   67 !
1611 10 21 09 30 1 125.3   4.9 -24.0 101.3   8.5 H 3  7 281      pavai        NaN   NaN   NaN 24.1   67 !
1611 10 21 09 30 1 125.3   4.9 -22.2 103.1   9.7 H 3  4 281      pavai        NaN   NaN   NaN 22.5   14 !
1611 10 21 09 30 1 125.3   4.9 -14.7 110.6   8.0 H 3  8 281      pavai        NaN   NaN   NaN 14.9   94 !
1611 10 21 09 30 1 125.3   4.9  -2.3 123.0  11.7 H 3  3 282      pavai        NaN   NaN   NaN  7.1    6 !
1611 10 21 09 30 1 125.3   4.9  -4.2 121.1  14.4 H 3  3 282      pavai        NaN   NaN   NaN 10.3    6 !
1611 10 21 09 30 1 125.3   4.9   0.5 125.8  15.0 H 3  4 282      pavai        NaN   NaN   NaN 10.1   13 !
1611 10 21 09 30 1 125.3   4.9  -1.6 123.7  14.2 H 3  5 282      pavai        NaN   NaN   NaN  9.4   24 !
1611 10 21 09 30 1 125.3   4.9  -3.8 121.5  11.4 H 3  6 282      pavai        NaN   NaN   NaN  7.5   44 !
1611 10 21 09 30 1 125.3   4.9  -2.8 122.5  12.6 H 3  5 282      pavai        NaN   NaN   NaN  8.1   24 !
1611 10 21 09 30 1 125.3   4.9  -1.4 123.9  11.0 H 3  7 282      pavai        NaN   NaN   NaN  6.2   61 !
1611 10 21 09 30 1 125.3   4.9   4.3 129.6   8.8 H 3  4 282      pavai        NaN   NaN   NaN  5.7   13 !
1611 10 21 09 30 1 125.3   4.9   5.2 130.5  13.1 H 3  5 282      pavai        NaN   NaN   NaN  9.6   24 !
1611 10 21 09 30 1 125.3   4.9   6.3 131.6  10.2 H 3  5 282      pavai        NaN   NaN   NaN  8.2   24 !
1611 10 21 09 30 1 125.3   4.9   4.7 130.0  10.9 H 3  6 282      pavai        NaN   NaN   NaN  7.6   44 !
1611 10 21 09 30 1 125.3   4.9  29.9 155.2  12.7 H 3  3 283      pavai        NaN   NaN   NaN 30.5    7 !
1611 10 21 09 30 1 125.3   4.9  26.3 151.6  12.0 H 3  4 283      pavai        NaN   NaN   NaN 26.9   15 !
1611 10 21 09 30 1 125.3   4.9  20.0 145.3  11.7 H 3  9 283      pavai        NaN   NaN   NaN 20.9  125 !
1611 10 21 09 30 1 125.3   4.9  50.5 175.8  19.7 H 3  6 284      pavai        NaN   NaN   NaN 51.3   69 !
1611 10 21 09 30 1 125.3   4.9  65.6 190.9  -9.8 H 3  6 285      pavai        NaN   NaN   NaN 67.0  111 !
1611 10 21 09 30 1 125.3   4.9  53.9 179.2 -13.7 H 3  7 285      pavai        NaN   NaN   NaN 56.6  111 !
1611 10 22 08 00 1 112.9   4.9 -19.1  93.8   9.1 H 3  8 281      pavai        NaN   NaN   NaN 19.4   98 !
1611 10 22 08 00 1 112.9   4.9 -18.7  94.2  12.9 H 3  9 281      pavai        NaN   NaN   NaN 20.1  126 !
1611 10 22 08 00 1 112.9   4.9  -9.4 103.5   7.6 H 3 11 281      pavai        NaN   NaN   NaN  9.7  175 !
1611 10 22 08 00 1 112.9   4.9  12.6 125.5   6.8 H 3  6 282      pavai        NaN   NaN   NaN 12.7   45 !
1611 10 22 08 00 1 112.9   4.9  10.6 123.5   2.9 H 3  6 282      pavai        NaN   NaN   NaN 10.8   45 !
1611 10 22 08 00 1 112.9   4.9  14.1 127.0   4.6 H 3  7 282      pavai        NaN   NaN   NaN 14.1   64 !
1611 10 22 08 00 1 112.9   4.9  11.5 124.4   5.0 H 3  7 282      pavai        NaN   NaN   NaN 11.5   63 !
1611 10 22 08 00 1 112.9   4.9   3.6 116.5   8.9 H 3  7 282      pavai        NaN   NaN   NaN  5.4   62 !
1611 10 22 08 00 1 112.9   4.9   0.6 113.5   9.3 H 3  7 282      pavai        NaN   NaN   NaN  4.5   62 !
1611 10 22 08 00 1 112.9   4.9   1.3 114.2   5.7 H 3  8 282      pavai        NaN   NaN   NaN  1.5   92 !
1611 10 22 08 00 1 112.9   4.9  36.5 149.4  -2.5 H 3  6 283      pavai        NaN   NaN   NaN 37.2   55 !
1611 10 22 08 00 1 112.9   4.9  32.0 144.9  -1.1 H 3  6 283      pavai        NaN   NaN   NaN 32.5   52 !
1611 10 22 08 00 1 112.9   4.9  25.3 138.2   1.1 H 3  9 283      pavai        NaN   NaN   NaN 25.5  131 !
1611 10 22 08 00 1 112.9   4.9  62.1 175.0  -0.3 H 3  6 284      pavai        NaN   NaN   NaN 62.2   94 !
1611 10 22 16 00 1 108.5   4.8 -24.1  84.4   4.4 H 3  8 281      pavai        NaN   NaN   NaN 24.0  100 !
1611 10 22 16 00 1 108.5   4.8 -23.7  84.8   9.3 H 3  9 281      pavai        NaN   NaN   NaN 23.9  127 !
1611 10 22 16 00 1 108.5   4.8 -13.2  95.3   7.6 H 3 10 281      pavai        NaN   NaN   NaN 13.4  143 !
1611 10 22 16 00 1 108.5   4.8  11.0 119.5   4.8 H 3  7 282      pavai        NaN   NaN   NaN 11.0   62 !
1611 10 22 16 00 1 108.5   4.8   8.6 117.1   5.5 H 3  7 282      pavai        NaN   NaN   NaN  8.6   62 !
1611 10 22 16 00 1 108.5   4.8  10.0 118.5   7.5 H 3  7 282      pavai        NaN   NaN   NaN 10.3   62 !
1611 10 22 16 00 1 108.5   4.8   0.1 108.6   8.8 H 3  7 282      pavai        NaN   NaN   NaN  4.0   61 !
1611 10 22 16 00 1 108.5   4.8   1.5 110.0   6.8 H 3  8 282      pavai        NaN   NaN   NaN  2.5   91 !
1611 10 22 16 00 1 108.5   4.8   2.6 111.1  11.0 H 3  9 282      pavai        NaN   NaN   NaN  6.7  117 !
1611 10 22 16 00 1 108.5   4.8  34.5 143.0   2.5 H 3  4 283      pavai        NaN   NaN   NaN 34.5   16 !
1611 10 22 16 00 1 108.5   4.8  30.5 139.0   3.4 H 3  6 283      pavai        NaN   NaN   NaN 30.5   50 !
1611 10 22 16 00 1 108.5   4.8  22.4 130.9   4.3 H 3 11 283      pavai        NaN   NaN   NaN 22.3  184 !
1611 10 22 16 00 1 108.5   4.8  54.3 162.8   8.9 H 3  9 284      pavai        NaN   NaN   NaN 54.0  198 !
1611 10 22 16 00 1 108.5   4.8  45.2 153.7 -32.2 H 3  9 285      pavai        NaN   NaN   NaN 56.7  212 !
1611 10 22 16 00 1 108.5   4.8  60.2 168.7 -28.4 H 3 11 285      pavai        NaN   NaN   NaN 66.7  429 !
1611 10 23 08 00 1  99.7   4.8   0.9 100.6   1.9 H 3  8 281      pavai        NaN   NaN   NaN  3.0   92 !
1611 10 23 08 00 1  99.7   4.8  -1.6  98.1   1.2 H 3  9 281      pavai        NaN   NaN   NaN  3.9  118 !
1611 10 23 08 00 1  99.7   4.8  -9.8  89.9  11.8 H 3  9 281      pavai        NaN   NaN   NaN 12.0  120 !
1611 10 23 08 00 1  99.7   4.8 -10.8  88.9   6.4 H 3 11 281      pavai        NaN   NaN   NaN 10.9  175 !
1611 10 23 08 00 1  99.7   4.8  14.9 114.6   5.3 H 3  7 282      pavai        NaN   NaN   NaN 14.9   64 !
1611 10 23 08 00 1  99.7   4.8  21.6 121.3   2.0 H 3  7 282      pavai        NaN   NaN   NaN 21.7   66 !
1611 10 23 08 00 1  99.7   4.8  23.2 122.9   4.1 H 3  7 282      pavai        NaN   NaN   NaN 23.1   67 !
1611 10 23 08 00 1  99.7   4.8  15.5 115.2   0.5 H 3  8 282      pavai        NaN   NaN   NaN 16.1   96 !
1611 10 23 08 00 1  99.7   4.8  12.7 112.4   1.6 H 3  8 282      pavai        NaN   NaN   NaN 13.1   95 !
1611 10 23 08 00 1  99.7   4.8  46.5 146.2   3.2 H 3  5 283      pavai        NaN   NaN   NaN 46.4   34 !
1611 10 23 08 00 1  99.7   4.8  41.4 141.1   2.2 H 3  5 283      pavai        NaN   NaN   NaN 41.4   31 !
1611 10 23 08 00 1  99.7   4.8  33.4 133.1   1.5 H 3  9 283      pavai        NaN   NaN   NaN 33.5  141 !
1611 10 23 08 00 1  99.7   4.8  62.8 162.5   5.6 H 3  8 284      pavai        NaN   NaN   NaN 62.5  200 !
1611 10 23 08 00 1  99.7   4.8  60.0 159.7 -31.4 H 3  3 285      pavai        NaN   NaN   NaN 67.5   15 !
1611 10 23 08 00 1  99.7   4.8  63.7 163.4 -33.1 H 3  3 285      pavai        NaN   NaN   NaN 71.1   18 !
1611 10 23 08 00 1  99.7   4.8  55.2 154.9 -31.0 H 3  4 285      pavai        NaN   NaN   NaN 63.6   30 !
1611 10 23 08 00 1  99.7   4.8  45.7 145.4 -32.6 H 3  4 285      pavai        NaN   NaN   NaN 57.2   25 !
1611 10 23 08 00 1  99.7   4.8  51.8 151.5 -34.0 H 3  4 285      pavai        NaN   NaN   NaN 62.3   29 !
1611 10 23 08 00 1  99.7   4.8  58.2 157.9 -35.2 H 3  4 285      pavai        NaN   NaN   NaN 67.6   35 !
1611 10 23 08 00 1  99.7   4.8  57.9 157.6 -39.8 H 3  5 285      pavai        NaN   NaN   NaN 69.3   67 !
1611 10 23 08 00 1  99.7   4.8  54.6 154.3 -37.4 H 3  5 285      pavai        NaN   NaN   NaN 65.9   58 !
1611 10 23 08 00 1  99.7   4.8  50.4 150.1 -26.4 H 3  9 285      pavai        NaN   NaN   NaN 57.9  221 !
1611 10 24 08 00 1  86.5   4.7  -4.6  81.9   9.5 Q 2  8 281      schmiel     -6.2   9.3 0.029  6.6  104 !
1611 10 24 08 00 1  86.5   4.7  -6.1  80.4   6.0 Q 2  8 281      schmiel     -7.5   6.0   NaN  6.2  104 !
1611 10 24 08 00 1  86.5   4.7   4.8  91.3   6.4 Q 2 13 281      schmiel      1.8   5.9   NaN  5.1  260 !
1611 10 24 08 00 1  86.5   4.7  14.9 101.4   6.0 Q 2  8 282      schmiel     12.2   6.6   NaN 14.9  107 !
1611 10 24 08 00 1  86.5   4.7  12.1  98.6   4.1 Q 2  7 282      schmiel      9.6   4.4   NaN 12.1   71 !
1611 10 24 08 00 1  86.5   4.7  15.3 101.8   2.1 Q 2  7 282      schmiel     12.3   2.2   NaN 15.5   72 !
1611 10 24 08 00 1  86.5   4.7  32.7 119.2   1.1 Q 2 11 283      schmiel     31.1   0.4   NaN 32.8  229 !
1611 10 24 08 00 1  86.5   4.7  21.4 107.9  -0.4 Q 2  8 282      schmiel      NaN   NaN   NaN 22.0  111 !
1611 10 24 08 00 1  86.5   4.7  22.2 108.7   4.7 Q 2  7 282      schmiel      NaN   NaN   NaN 22.1   75 !
1611 10 24 08 00 1  86.5   4.7  24.5 111.0   2.1 Q 2  8 282      schmiel      NaN   NaN   NaN 24.6  114 !
1611 10 24 08 00 1  86.5   4.7  42.9 129.4   0.5 Q 2  7 283      schmiel      NaN   NaN   NaN 43.0   95 !
1611 10 24 08 00 1  86.5   4.7  48.8 135.3   1.4 Q 2  4 283      schmiel      NaN   NaN   NaN 48.8   23 !
1611 10 24 08 00 1  86.5   4.7  -0.1  86.4   4.6 Q 2  3 281      schmiel      NaN   NaN   NaN  0.1    6 !
1611 10 25 09 00 1  72.8   4.6   8.4  81.2  10.2 Q 2  8 281      schmiel     11.9   9.3 0.037 10.1  105 !
1611 10 25 09 00 1  72.8   4.6   6.3  79.1   6.0 Q 2  8 281      schmiel     10.6   6.0   NaN  6.4  104 !
1611 10 25 09 00 1  72.8   4.6  16.7  89.5   6.2 Q 2  9 281      schmiel     19.9   5.9   NaN 16.7  138 !
1611 10 25 09 00 1  72.8   4.6  27.6 100.4   7.2 Q 2  7 282      schmiel     30.3   6.6   NaN 27.6   78 !
1611 10 25 09 00 1  72.8   4.6  25.7  98.5   4.7 Q 2  8 282      schmiel     27.8   4.4   NaN 25.6  115 !
1611 10 25 09 00 1  72.8   4.6  27.4 100.2   1.8 Q 2  9 282      schmiel     30.5   2.2   NaN 27.5  149 !
