
Analyses of Early Sunspot Records by Jean Tarde (1615–1617) and Jan Smogulecki (1621–1625)

Original source: V.M.S. Carrasco, M.C. Gallego, J. Villalba Álvarez, J.M. Vaquero, 2021, submitted to Solar Physics.

FIRST COLUMN - date of the observation
SECOND COLUMN - latitude of the group
THIRD COLUMN - observer responsible of the observation


DATE	LATITUDE	OBSERVER
1615.646575	13.27914475	TARDE
1615.646575	11.83595393	TARDE
1615.646575	2.635550102	TARDE
1615.646575	8.433053422	TARDE
1615.646575	7.924593362	TARDE
1615.646575	-14.54404528	TARDE
1615.646575	-29.81972124	TARDE
1615.646575	-25.34334767	TARDE
1615.646575	-28.76176179	TARDE
1615.890411	0.91	TARDE
1616.182192	7.705833333	TARDE
1616.30274	-11.03416667	TARDE
1616.387671	16.61333333	TARDE
1617.367372	6.379090909	TARDE
1621.77363	-33.02000705	SMOGULECKI
1621.822701	-24.1585487	SMOGULECKI
1624.327397	-18.34453312	SMOGULECKI
1624.328767	-14.29938072	SMOGULECKI
1625.043836	-7.735426215	SMOGULECKI
1625.128219	19.99053795	SMOGULECKI
1625.425571	-13.35134362	SMOGULECKI
1625.423562	18.65659904	SMOGULECKI
1625.613394	19.20045031	SMOGULECKI
1625.624658	-10.24899796	SMOGULECKI
1625.662466	-16.63250698	SMOGULECKI
1625.686575	25.65625015	SMOGULECKI
1625.688584	22.43592783	SMOGULECKI
1625.688584	18.87103604	SMOGULECKI
