
Outstanding sunspot characteristics on the onset of the Maunder Minimum described by Hevelius

Original source: V.M.S. Carrasco, J.M. Vaquero, M.C. Gallego, A. Muñoz-Jaramillo, G. de Toma, P. Galaviz, R. Arlt, V. Senthamizh Pavai, F. Sánchez-Bajo, J. Villalba Álvarez, J.M. Gómez: 2019, The Astrophysical Journal.

YYYY MM DD HH MI:  Date/time
T               :  Time flag 1= time known, 0= time presumed
L0              :  central meridian longitude
B0              :  centre of disk latitude
CMD             :  central meridian distance
LLL.L           :  longitude converted to carrington longitude
BBB.B           :  latitude
M               :  method
Q               :  quality flag 1=best
SS              :  cursor size used to estimate area
GROUP           :  group name (assigned by us)
MEASURER        :  person who measured
MOD_L MOD_B SIGMA: irrelevant, only for bayesian inference of spot locations
DELTA           :  distance from disk center in degrees
UMSD            :  uncorrected umbral area in millionths of solar disk
UMSH            :  corrected umbral area in millionths of solar hemisphere


YYYY MM DD HH MI T    L0    B0   CMD LLL.L BBB.B M Q SS GROUP    MEASURER   MOD_L MOD_B SIGMA DELTA UMSD  UMSH
1642 10 28 10 28 1 -14.9   4.3 -66.3 278.8   8.5 C 1  7 1        pavai        NaN   NaN   NaN 66.0 162.6 199.6
1642 10 31 09 20 1 -15.8   3.9 -25.0 319.2   8.8 C 1  5 1        pavai        NaN   NaN   NaN 25.3  77.4  42.8
1642 10 31 09 20 1 -15.8   3.9 -23.8 320.4   7.9 C 1  3 1        pavai        NaN   NaN   NaN 24.0  23.6  12.9
1642 11 01 09 23 1 -16.1   3.8 -12.1 331.8   8.2 C 1  6 1        pavai        NaN   NaN   NaN 12.8 108.8  55.8
1642 11 01 09 23 1 -16.1   3.8 -11.1 332.8   7.1 C 1  4 1        pavai        NaN   NaN   NaN 11.5  41.5  21.2
1642 11 03 09 53 1 -16.7   3.6  14.8 358.1   6.5 C 1  5 1        pavai        NaN   NaN   NaN 15.0  77.4  40.1
1642 11 03 09 53 1 -16.7   3.6  16.1 359.4   5.2 C 1  4 1        pavai        NaN   NaN   NaN 16.1  41.5  21.6
1642 11 04 09 56 1 -17.0   3.5  28.1  11.1   6.4 C 1  5 1        pavai        NaN   NaN   NaN 28.1  77.4  43.9
1642 11 04 09 56 1 -17.0   3.5  29.1  12.1   5.1 C 1  4 1        pavai        NaN   NaN   NaN 29.1  41.5  23.7
1642 11 06 09 00 1 -17.5   3.3  53.4  35.9   6.8 C 1  4 1        pavai        NaN   NaN   NaN 53.3  41.5  34.7
