Supplementary data 2 of Hayakawa et al. (2022, Astrophysical Journal, DOI: 10.3847/1538-4357/ac6671) 'An Overview of the Sunspot Observations in 1727 – 1748'. 
The sunspot positions have been extracted from the contemporary records cited in this article.

Reference:
Hayakawa et al. (2022) An Overview of the Sunspot Observations in 1727 – 1748, Astrophysical Journal, DOI: 10.3847/1538-4357/ac6671

Abb. Meaning
------------------------------------------------------------------
Year - Year;
Month - Month;
Date - Date;
Chronology - Year in decimal value;
Observer - Observer;
G - Group number for the date;
LT- Local time of the observation(s); 
B0 - B0 angle;
P - P angle;
Latitude - Heliographic latitude of the measured group;
Longitude - Heliographic longitude of the measured group;
Wargentin - Wargentin's sunspot latitudes from Arlt (2018);
Staudach - Staudach's sunspot latitudes from Arlt (2008);
Note - special remarks.

The data blank shows the gap of observational data for the specified observational date.
------------------------------------------------------------------




Year	Month	Day	Chronology	OBSERVER	G	LT	B0	P	Latitude	Longitude	Wargentin	Staudach	Note		
1722	12	8	1722.935792	Molyneux	1	12:34									
1726	9	24	1726.729508	Bradley	4	partial eclipse									
1727	1	4	1727.008197	C. Kirch	3										
1727	1	7	1727.016393	Alischer	1										
1727	1	24	1727.062842	Alischer	2										
1727	2	8	1727.102459	Alischer	2										
1727	2	21	1727.137978	Alischer	3										
1727	9	14	1727.702186	Manfredi	4	17:26	7	21.1	32	41					
1727	9	14	1727.702186	Manfredi	4	17:26	7	21.1	-9	9					
1727	9	14	1727.702186	Manfredi	4	17:26	7	21.1	-13	-3					
1727	9	14	1727.702186	Manfredi	4	17:26	7	21.1	-26	-32					
1727	9	14	1727.702186	Manfredi	4	17:26	7	21.1	-30	-58					
1727	9	14	1727.702186	Poleni	5										
1727	9	15	1727.704918	Manfredi	5										
1727	9	15	1727.704918	Blanchini	4										
1727	9	15	1727.704918	Cassini de Thury	4		7	-64.4	1	-56					
1727	9	15	1727.704918	Cassini de Thury	4		7	-64.4	-5	-4					
1727	9	15	1727.704918	Cassini de Thury	4		7	-64.4	-12	2					
1727	9	15	1727.704918	Cassini de Thury	4		7	-64.4	-19	51					
1727	9	15	1727.704918	Carbone	5	07:50	7	-70	-10	-49					
1727	9	15	1727.704918	Carbone	5	07:50	7	-70	-3	10					
1727	9	15	1727.704918	Carbone	5	07:50	7	-70	11	31					
1727	9	15	1727.704918	Carbone	5	07:50	7	-70	11	47					
1727	9	15	1727.704918	Carbone	5	07:50	7	-70	19	70					
1727	9	30	1727.745902	Walther	N/A	text									
1727	10	5	1727.760929	Walther	N/A	text									
1727	10	6	1727.763661	Walther	N/A	text									
1727	10	7	1727.766393	Walther	N/A	text									
1727	10	8	1727.769126	Walther	N/A	text									
1727	10	9	1727.771858	Walther	N/A	text									
1727	10	10	1727.77459	Walther	N/A	text									
1727	10	11	1727.777322	Walther	N/A	text									
1727	10	12	1727.780055	Walther	N/A	text									
1727	10	13	1727.782787	Walther	N/A	text									
1727	10	14	1727.785519	Walther	N/A	text									
1727	10	15	1727.788251	Walther	N/A	text									
1727	10	16	1727.790984	Walther	N/A	text									
1727	10	17	1727.793716	Walther	N/A	text									
1727	10	20	1727.801913	Walther	N/A	text									
1727	10	21	1727.804645	Walther	N/A	text									
1727	10	25	1727.815574	Walther	N/A	text									
1727	10	26	1727.818306	Walther	N/A	text									
1728	12	12	1728.946721	van Coesfeld	3		-1	12	15.75	-52.5					
1728	12	12	1728.946721	van Coesfeld	3		-1	12	-6.75	-11.5					
1728	12	12	1728.946721	van Coesfeld	3		-1	12	-10.5	70					
1728	12	15	1728.954918	van Coesfeld	2		-1	10	16.25	-20.5					
1728	12	15	1728.954918	van Coesfeld	2		-1	10	-7	8.75					
1728	12	18	1728.963115	van Coesfeld	2		-1	9	18	22.5					
1728	12	18	1728.963115	van Coesfeld	2		-1	9	-7	42					
1728	12	22	1728.974044	van Coesfeld	1		-2	7	18.75	58.5					
1729	1	2	1729.002732	van Coesfeld	3		-3	2	18.5	-17.25					
1729	1	2	1729.002732	van Coesfeld	3		-3	2	14.5	-35					
1729	1	2	1729.002732	van Coesfeld	3		-3	2	-36.5	-14.25					
1729	1	5	1729.010929	van Coesfeld	3		-4	0	17.5	33.25					
1729	1	5	1729.010929	van Coesfeld	3		-4	0	12	12.5					
1729	1	5	1729.010929	van Coesfeld	3		-4	0	-33.5	15					
1729	1	11	1729.027322	van Coesfeld	4		-4	-3	7.25	-33					
1729	1	11	1729.027322	van Coesfeld	4		-4	-3	13.75	-61.5					
1729	1	11	1729.027322	van Coesfeld	4		-4	-3	-28.25	32					
1729	1	11	1729.027322	van Coesfeld	4		-4	-3	-28.5	19					
1729	1	14	1729.035519	van Coesfeld	5		-4	-4	2.5	26.5					
1729	1	14	1729.035519	van Coesfeld	5		-4	-4	8.75	-17.5					
1729	1	14	1729.035519	van Coesfeld	5		-4	-4	-4.5	12.75					
1729	1	14	1729.035519	van Coesfeld	5		-4	-4	-21.25	13.25					
1729	1	14	1729.035519	van Coesfeld	5		-4	-4	-16	-24.5					
1729	1	18	1729.046448	van Coesfeld	5		-5	-6	24	67.5					
1729	1	18	1729.046448	van Coesfeld	5		-5	-6	17	63					
1729	1	18	1729.046448	van Coesfeld	5		-5	-6	7	-62					
1729	1	18	1729.046448	van Coesfeld	5		-5	-6	-20	-42					
1729	1	18	1729.046448	van Coesfeld	5		-5	-6	-13.25	-42					
1729	2	1	1729.083333	Weidler	1										
1729	2	1	1729.083333	van Coesfeld	1		-6	-12	12.5	-59.5					
1729	2	5	1729.094262	van Coesfeld	4		-6	-14	4.5	-9.75					
1729	2	5	1729.094262	van Coesfeld	4		-6	-14	12	-52					
1729	2	5	1729.094262	van Coesfeld	4		-6	-14	-9.5	35					
1729	2	5	1729.094262	van Coesfeld	4		-6	-14	-1	35.5					
1729	2	8	1729.102459	van Coesfeld	6		-6	-15	6.5	28.75					
1729	2	8	1729.102459	van Coesfeld	6		-6	-15	10.75	-19.25					
1729	2	8	1729.102459	van Coesfeld	6		-6	-15	3.5	71					
1729	2	8	1729.102459	van Coesfeld	6		-6	-15	13.75	19.5					
1729	2	8	1729.102459	van Coesfeld	6		-6	-15	1.5	-21.5					
1729	2	8	1729.102459	van Coesfeld	6		-6	-15	-1	68					
1729	2	17	1729.127049	van Coesfeld	0		-7	-18							
1729	2	26	1729.151639	van Coesfeld	1		-7	-21	-26.5	53.75					
1729	3	3	1729.172131	van Coesfeld	5		-7	-22	10	66.5					
1729	3	3	1729.172131	van Coesfeld	5		-7	-22	14.5	-21					
1729	3	3	1729.172131	van Coesfeld	5		-7	-22	4	-23					
1729	3	3	1729.172131	van Coesfeld	5		-7	-22	5	-44					
1729	3	3	1729.172131	van Coesfeld	5		-7	-22	-2.75	-17.5					
1729	3	7	1729.18306	van Coesfeld	3		-7	-23	5	0.75					
1729	3	7	1729.18306	van Coesfeld	3		-7	-23	-31	-1					
1729	3	7	1729.18306	van Coesfeld	3		-7	-23	-20.5	-2.5					
1729	3	12	1729.196721	van Coesfeld	4		-7	-24	18	33.5					
1729	3	12	1729.196721	van Coesfeld	4		-7	-24	-46.5	-12.5					
1729	3	12	1729.196721	van Coesfeld	4		-7	-24	-33.5	-31.5					
1729	3	12	1729.196721	van Coesfeld	4		-7	-24	-48.5	-41					
1729	3	17	1729.210383	van Coesfeld	5		-7	-25	-23	65					
1729	3	17	1729.210383	van Coesfeld	5		-7	-25	-29.75	67.5					
1729	3	17	1729.210383	van Coesfeld	5		-7	-25	-15	60.5					
1729	3	17	1729.210383	van Coesfeld	5		-7	-25	-21.75	-4.5					
1729	3	17	1729.210383	van Coesfeld	5		-7	-25	-25	-68.5					
1729	3	18	1729.213115	Weidler	1										
1729	3	24	1729.229508	van Coesfeld	2		-7	-26	-25.5	29					
1729	3	24	1729.229508	van Coesfeld	2		-7	-26	-32.5	9.5					
1729	3	27	1729.237705	van Coesfeld	0		-7	-26							
1729	3	31	1729.248634	van Coesfeld	1		-7	-26					too high latitude		
1729	4	12	1729.280055	van Coesfeld	1		-6	-26	-36.75	-24.5					
1729	4	18	1729.296448	van Coesfeld	4		-5	-26	-35.5	63					
1729	4	18	1729.296448	van Coesfeld	4		-5	-26	-8	78					
1729	4	18	1729.296448	van Coesfeld	4		-5	-26	-37.5	6.25					
1729	4	18	1729.296448	van Coesfeld	4		-5	-26	-23.5	-42.5					
1729	4	23	1729.310109	van Coesfeld	2		-5	-25	-24.75	-10.25					
1729	4	23	1729.310109	van Coesfeld	2		-5	-25	-27.25	-71					
1729	5	3	1729.338798	Krafft	≥ 1	text about existence									
1729	5	4	1729.34153	Krafft	≥ 1	text about existence									
1729	5	5	1729.344262	Krafft	≥ 1	text about existence									
1729	5	5	1729.344262	van Coesfeld	3		-4	-24	16	-38.5					
