YYYY MM DD HH MI T  Book_num Image_num     LO    BO W_limb E_limb X_diaa X_diab Y_dia spt_Xa spt_Xb spt_Y   CMD LLL.L BBB.B   N S  In  Ob Rdr D C
1761 05 05 10 57 1  book1 IMG_6980b.jpg 316.2  -3.3 024054 024305 02 11 13.55 00 14  7.90  52.5   8.8   7.2   b 1  RM  PH CSJ b 0
1761 05 05 10 57 1  book1 IMG_6980b.jpg 316.2  -3.3 024054 024305 02 11 13.55 00 20  5.16  47.1   3.3   1.1   a 0  RM  PH CSJ t 0
1761 05 05 10 57 1  book1 IMG_6980b.jpg 316.2  -3.3 024054 024305 02 11 13.55 00 22  7.65  36.4 352.6  19.8   c 0  RM  PH CSJ t 0
1761 05 05 10 57 1  book1 IMG_6980b.jpg 316.2  -3.3 024054 024305 02 11 13.55 01 41  7.50 -33.2 283.0  -9.6   d 0  RM  PH CSJ t 0
1761 05 05 10 57 1  book1 IMG_6980b.jpg 316.2  -3.3 024054 024305 02 11 13.55 01 57  9.35 -60.8 255.5   0.4   g 0  RM  PH CSJ t 0
1761 05 05 10 57 1  book1 IMG_6980b.jpg 316.2  -3.3 024054 024305 02 11 13.55 02 00  9.14 -64.5 251.7  -2.1   f 0  RM  PH CSJ t 0
1761 05 05 10 57 1  book1 IMG_6980b.jpg 316.2  -3.3 024054 024305 02 11 13.55 02 06  9.02 -79.1 237.1  -4.3   e 0  RM  PH CSJ t 0
1761 05 08 10 56 1  book1 IMG_6984.jpg  276.6  -3.0 025128 025341 02 12 13.70 00 16  9.90  45.7 322.3  42.7   l 0  RM  PH CSJ t _
1761 05 08 10 56 1  book1 IMG_6984.jpg  276.6  -3.0 025128 025341 02 12 13.70 00 22  3.53  35.3 311.9  42.4   m 1  RM  PH CSJ b _
1761 05 08 10 56 1  book1 IMG_6984.jpg  276.6  -3.0 025128 025341 02 12 13.70 00 24  3.75  32.0 308.6  39.1   r 1  RM  PH CSJ b _
1761 05 08 10 56 1  book1 IMG_6984.jpg  276.6  -3.0 025128 025341 02 12 13.70 00 25  3.26  30.8 307.4  43.8   s 1  RM  PH CSJ b _
1761 05 08 10 56 1  book1 IMG_6984.jpg  276.6  -3.0 025128 025341 02 12 13.70 00 32  4.92  23.7 300.3  24.6   c 1  RM  PH CSJ b _
