
Sunspot Observations by Barnaba Oriani (1778 – 1779)

Original source: J.M. Nogales, V.M.S. Carrasco, R. Arlt, F. Domínguez-Castro, J.M. Vaquero, : 2020, Solar Physics.

FIRST COLUMN - year of the observation
SECOND COLUMN - month of the observation
THIRD COLUMN - day of the observation
FOURTH COLUMN - code of each sunspots
FIFTH COLUMN - heliographic latitude of each sunspot
SIXTH COLUMN - Carrington longitude of each sunspot
SEVENTH COLUMN - heliographic longitude of each sunspot with respect to central meridian


YEAR	MONTH	DAY	SUNSPOT	LAT	CAR-LON	LON
1778	5	2	1	16.22	148.23	24.20
1778	5	2	3	10.54	146.62	22.59
1778	5	2	4	12.74	67.23	-56.80
1778	5	2	5	-25.05	65.08	-58.95
1778	5	3	1	15.87	146.78	36.11
1778	5	3	2	9.94	145.73	35.06
1778	5	3	3	13.29	67.80	-42.87
1778	5	3	4	-24.04	69.37	-41.31
1778	5	3	5	30.89	37.31	-73.36
1778	5	4	1	16.26	146.04	48.50
1778	5	4	2	10.37	145.38	47.83
1778	5	4	3	13.68	66.79	-30.75
1778	5	4	4	-24.17	68.15	-29.39
1778	5	4	5	31.83	36.20	-61.34
1778	5	5	1	-	-	-
1778	5	5	2	-	-	-
1778	5	5	3	-	-	-
1778	5	5	4	-	-	-
1778	5	5	5	-	-	-
1778	5	6	1	-	-	-
1778	5	6	2	13.39	66.10	-4.99
1778	5	6	3	-24.52	66.88	-4.22
1778	5	6	5	31.67	32.54	-38.56
1778	5	7	3	12.47	63.82	6.10
1778	5	7	4	-24.22	67.09	9.37
1778	5	7	5	32.15	33.86	-23.87
1778	5	8	3	-	-	-
1778	5	8	3.2	-	-	-
1778	5	8	4	-	-	-
1778	5	8	5	-	-	-
1778	5	10	1	-15.06	346.19	-31.82
1778	5	10	2	11.72	316.17	-61.84
1778	5	10	3	13.31	63.51	45.50
1778	5	10	3.2	11.89	68.41	50.40
1778	5	10	4	-	-	-
1778	5	10	5	33.83	34.33	16.32
1778	5	10	6	-18.26	335.71	-42.29
1778	5	11	1	-	-	-
1778	5	11	2	13.00	315.38	-49.63
1778	5	11	3	13.83	65.04	60.03
1778	5	11	3.2	12.39	70.01	65.00
1778	5	11	4	-36.88	325.88	-39.13
1778	5	11	5	34.25	33.72	28.71
1778	5	11	5.2	32.71	32.59	27.58
1778	5	11	6	-	-	-
1778	5	11	7	19.48	293.44	-71.57
1778	5	12	1	-16.74	340.51	-11.18
1778	5	12	2	12.22	314.74	-36.95
1778	5	12	3	13.66	64.38	72.69
1778	5	12	3.2	12.46	70.94	79.24
1778	5	12	4	-36.24	323.36	-28.33
1778	5	12	5	32.37	30.19	38.49
1778	5	12	5.2	32.75	32.37	40.67
1778	5	12	6	-16.91	334.63	-17.06
1778	5	12	7	18.44	294.82	-56.88
1778	5	12	8	23.41	279.88	-71.81
1778	5	13	1	-16.68	340.82	2.36
1778	5	13	2	12.35	314.98	-23.49
1778	5	13	4	-36.56	323.16	-15.31
1778	5	13	9	-12.01	304.84	-33.63
1778	5	13	5	32.69	28.16	49.69
1778	5	13	5.2	33.25	31.89	53.43
1778	5	13	6	-16.67	334.60	-3.87
1778	5	13	7	18.65	295.63	-42.84
1778	5	13	8	22.84	283.25	-55.22
1778	5	13	10	-18.00	260.13	-78.34
1778	5	14	9	-	-	-
1778	5	14	5	-	-	-
1778	5	14	5.2	-	-	-
1778	5	14	10	-	-	-
1778	5	15	1	-16.67	342.63	30.61
1778	5	15	2	12.29	315.70	3.69
1778	5	15	9	-10.63	306.46	-5.55
1778	5	15	5.2	33.02	32.78	80.77
1778	5	15	5	31.66	22.10	70.09
1778	5	15	7	19.16	296.61	-15.41
1778	5	15	8	22.73	283.59	-28.43
1778	5	15	10	-16.41	262.47	-49.54
1778	5	15	11	-15.49	292.80	-19.21
1778	5	15	12	-19.27	255.18	-56.84
1778	5	16	1	-17.19	342.16	43.28
1778	5	16	2	12.40	314.80	15.92
1778	5	16	3	-17.04	283.12	-15.76
1778	5	16	4	-23.45	267.90	-30.97
1778	5	16	4.2	-32.94	262.98	-35.89
1778	5	16	9	-11.33	305.07	6.19
1778	5	16	7	18.96	296.06	-2.81
1778	5	16	8	23.39	281.71	-17.17
1778	5	16	10	-16.08	260.72	-38.16
1778	5	16	11	-15.99	292.60	-6.27
1778	5	16	12	-19.39	252.77	-46.10
1778	5	17	1	-17.49	341.45	55.80
1778	5	17	2	12.40	314.10	28.45
1778	5	17	3	-17.26	282.84	-2.81
1778	5	17	4	-29.92	267.77	-17.87
1778	5	17	4.2	-33.68	260.37	-25.27
1778	5	17	9	-11.23	304.44	18.79
1778	5	17	11	-15.98	292.11	6.46
1778	5	17	7	18.85	295.26	9.61
1778	5	17	8	22.99	279.94	-5.71
1778	5	17	10	-16.96	259.43	-26.22
1778	5	17	12	-19.06	251.60	-34.04
1778	5	18	2	-	-	-
1778	5	18	11	-	-	-
1778	5	18	3	-	-	-
1778	5	18	4	-	-	-
1778	5	18	9	-	-	-
1778	5	18	7	-	-	-
1778	5	18	8	-	-	-
1778	5	18	10	-	-	-
1778	5	18	10	-	-	-
1778	5	18	12	-	-	-
1778	5	19	2	12.80	315.24	56.05
1778	5	19	12	-19.29	251.95	-7.23
1778	5	19	3	-15.05	284.34	25.15
1778	5	19	4	-29.54	268.48	9.29
1778	5	19	9	-10.01	306.65	47.46
1778	5	19	7	19.56	295.06	35.87
1778	5	19	8	28.04	267.78	8.60
1778	5	19	10.2	-16.69	259.33	0.14
1778	5	19	10	-15.12	263.71	4.52
1778	5	19	11	-14.60	293.85	34.66
1778	5	20	2	11.76	312.78	66.77
1778	5	20	3	-16.60	282.74	36.74
1778	5	20	4	-29.79	265.96	19.95
1778	5	20	9	-11.35	307.25	61.25
1778	5	20	9.2	-15.64	291.87	45.87
1778	5	20	5	13.27	199.61	-46.40
1778	5	20	7	19.03	293.10	47.10
1778	5	20	10.2	-17.05	259.19	13.19
1778	5	20	10	-15.62	263.21	17.21
1778	5	20	12	-20.25	251.00	4.99
1778	5	21	9	-11.32	308.85	75.99
1778	5	21	5	-	-	-
1778	5	21	7	19.76	295.17	62.31
1778	5	21	12	-18.97	251.66	18.79
1778	5	21	8.2	29.63	252.85	19.98
1778	5	21	8	28.71	258.57	25.70
1778	5	21	10.2	-16.46	258.96	26.09
1778	5	21	10	-15.33	262.36	29.49
1778	5	21	11.2	-14.81	290.84	57.97
1778	5	21	11	-15.15	293.27	60.41
1778	5	22	2	17.27	147.73	-71.80
1778	5	22	9.2	-13.22	288.12	68.58
1778	5	22	9	-16.95	301.02	81.48
1778	5	22	3	-13.25	280.02	60.48
1778	5	22	3.2	-14.09	283.05	63.52
1778	5	22	5	14.23	198.32	-21.21
1778	5	22	7	20.01	296.00	76.46
1778	5	22	8.2	29.30	250.97	31.43
1778	5	22	8.3	28.20	253.10	33.56
1778	5	22	8	27.55	257.14	37.60
1778	5	22	10.3	-14.00	258.78	39.24
1778	5	22	10	-14.54	263.26	43.73
1778	5	22	10.2	-16.57	257.49	37.95
1778	5	22	12	-19.26	251.38	31.84
1778	5	23	1	21.42	137.08	-69.28
1778	5	23	2	17.10	149.09	-57.26
1778	5	23	8.2	29.68	250.08	43.73
1778	5	23	8.3	29.22	252.98	46.62
1778	5	23	10.3	-13.34	258.30	51.95
1778	5	23	10	-14.31	264.09	57.73
1778	5	23	10.2	-17.03	257.83	51.48
1778	5	24	1.2	21.67	131.47	-61.64
1778	5	24	1	20.97	138.63	-54.48
1778	5	24	2	16.89	148.13	-44.98
1778	5	24	8.2	30.02	250.28	57.17
1778	5	24	10.3	-15.07	259.55	66.44
1778	5	24	10.2	-17.74	254.00	60.89
1778	5	27	1.4	22.21	134.65	-18.68
1778	5	27	1.2	22.96	142.03	-11.30
1778	5	27	1.3	19.36	142.46	-10.86
1778	5	27	1	16.72	147.62	-5.71
1778	5	27	4.0	12.90	80.66	-72.66
1778	5	27	5	14.59	181.30	27.97
1778	5	29	1.4	21.33	133.63	6.87
1778	5	29	1.2	21.91	143.92	17.16
1778	5	29	1.3	19.13	142.22	15.46
1778	5	29	1	17.57	147.89	21.12
1778	5	29	2.2	14.91	59.26	-67.50
1778	5	29	2	13.88	61.32	-65.44
1778	5	29	2.3	40.93	188.10	61.34
1778	5	29	3.3	15.22	180.12	53.35
1778	5	29	3.2	14.24	185.50	58.73
1778	5	29	3	14.32	187.30	60.53
1778	5	29	4.0	12.90	80.03	-46.73
1778	5	29	4	-12.33	46.10	-80.66
1778	5	29	4.2	-15.90	45.42	-81.35
1778	5	30	1.4	16.90	132.41	18.83
1778	5	30	1.2	19.19	144.40	30.82
1778	5	30	1.3	16.41	142.68	29.11
1778	5	30	1	18.40	152.02	38.44
1778	5	30	2.2	14.82	60.46	-53.11
1778	5	30	2	13.09	63.96	-49.62
1778	5	30	2.3	10.71	62.14	-51.44
1778	5	30	3.3	14.34	179.23	65.65
1778	5	30	3.2	13.73	185.10	71.52
1778	5	30	4.0	12.85	80.60	-32.98
1778	5	30	4	-13.13	46.33	-67.25
1778	5	30	4.2	-14.99	47.96	-65.62
1778	5	30	4.3	-15.84	38.54	-75.03
1778	5	31	1.2	21.49	144.12	43.73
1778	5	31	1.3	18.14	138.54	38.15
1778	5	31	1	16.93	146.56	46.17
1778	5	31	1.4	-	-	-
1778	5	31	2.2	15.08	63.00	-37.38
1778	5	31	2	13.19	64.25	-36.13
1778	5	31	2.3	11.16	63.62	-36.76
1778	5	31	3.3	14.32	178.97	78.59
1778	5	31	3.2	13.54	184.93	84.54
1778	5	31	4.0	12.40	81.81	-18.58
1778	5	31	4	-13.06	45.29	-55.10
1778	5	31	4.3	-15.75	40.58	-59.81
1778	5	31	4.2	-14.99	50.71	-49.68
1778	5	31	5	-13.76	28.07	-72.31
1778	5	31	6	29.15	29.52	-70.87
1778	6	1	1.2	22.50	146.20	59.14
1778	6	1	1.3	18.89	139.77	52.71
1778	6	1	2.2	14.79	63.74	-23.32
1778	6	1	2	12.69	66.49	-20.57
1778	6	1	2.3	11.04	64.93	-22.13
1778	6	1	4.0	13.31	82.71	-4.35
1778	6	1	4.5	-8.31	53.19	-33.86
1778	6	1	4.4	-8.94	53.76	-33.30
1778	6	1	4	-11.87	49.71	-37.35
1778	6	1	4.2	-12.63	49.62	-37.43
1778	6	1	4.3	-14.93	40.97	-46.09
1778	6	1	5	-13.01	28.18	-58.87
1778	6	1	6.2	30.81	28.04	-59.02
1778	6	1	6	29.19	32.49	-54.57
1778	6	2	1.2	22.04	142.92	68.96
1778	6	2	1.5	20.46	141.25	67.29
1778	6	2	1.3	17.79	137.58	63.62
1778	6	2	2.2	14.90	60.03	-13.93
1778	6	2	2.3	14.27	60.16	-13.80
1778	6	2	2	12.06	62.96	-10.99
1778	6	2	4.0	12.62	79.68	5.72
1778	6	2	4.5	-10.24	48.71	-25.25
1778	6	2	4	-12.66	45.02	-28.94
1778	6	2	4.3	-15.83	36.98	-36.98
1778	6	2	4.2	-15.33	45.47	-28.49
1778	6	2	4.4	-15.75	51.02	-22.94
1778	6	2	5	-13.59	23.68	-50.28
1778	6	2	6.2	30.30	15.76	-58.20
1778	6	2	6	29.46	28.85	-45.11
1778	6	3	1.2	20.91	144.89	84.31
1778	6	3	2.2	15.10	60.74	0.15
1778	6	3	2	12.47	63.09	2.51
1778	6	3	2.3	11.20	61.91	1.33
1778	6	3	4.0	13.06	80.23	19.65
1778	6	3	4.5	-10.65	50.75	-9.84
1778	6	3	4	-12.50	46.66	-13.93
