date,name,lat_mean,lat_std,long_mean,long_std,cmd_mean,cmd_std,n,reliable
1788-06-04,A,-23.47,,130.83,,55.87,,1,TRUE
1788-06-04,B,-27.34,,121.84,,46.91,,1,TRUE
1788-06-04,C,-28.43,,120.24,,45.32,,1,TRUE
1788-06-04,D,-15.84,,9.81,,-64.6,,1,TRUE
1795-02-12,t,11.34,,226.1,,11.09,,1,FALSE
1795-03-03,t,-7.5,0.26,293.45,0.54,-30.85,0.55,4,TRUE
1795-03-04,t_grande,-7.59,0.76,293.8,0.3,-17.13,0.34,5,TRUE
1795-03-04,t_petite,1.95,0.95,279.39,0.2,-31.6,0.24,3,TRUE
1795-03-05,t,-7.55,1,294.31,0.62,-3.63,0.64,5,TRUE
1795-03-07,t,-8.09,,295.43,,23.96,,1,TRUE
1796-07-05,t_A,-5.92,0.32,29.47,0.25,52.85,0.3,2,TRUE
1796-07-05,t_B,6.09,0.44,286.87,2.77,-49.78,2.72,3,TRUE
1796-07-07,t_B,6.03,1.19,284.87,1.11,-22.3,3.49,5,TRUE
1796-07-08,t_B,5.87,0.44,285.98,1.35,-9.3,3.84,8,TRUE
1796-07-09,t,5.63,0.47,285.79,1.08,4.79,2.96,6,TRUE
1796-07-10,t,5.92,0.31,285.57,0.27,16.76,3.4,8,TRUE
1796-07-11,t_B,5.6,0.21,285.53,0.4,27.05,0.37,4,TRUE
1796-07-11,t_C,13.26,0.88,209.56,0.37,-48.87,0.41,2,TRUE
1796-07-11,t_D,13.35,0.57,205.89,0.94,-52.52,0.98,2,TRUE
1796-07-13,t_E,10.82,0.3,186.63,0.26,-39.22,0.25,4,TRUE
1796-07-15,t_F,10.56,1.32,186.41,0.5,-16.14,3.51,5,TRUE
1796-07-16,t_F,11.69,0.81,187.24,0.7,-4.94,0.76,2,TRUE
1796-07-19,t_G,12.96,0.48,155.79,0.18,3.51,0.13,2,TRUE
1796-07-20,t_G,11.5,,156.68,,17.48,,1,TRUE
1796-07-24,t_H,-5.95,1.17,33.09,5.16,-53.39,5.15,4,TRUE
1796-07-25,t_H,-6.67,0.1,31.93,1.03,-40.97,0.97,2,TRUE
1796-07-26,t_H,-7.59,,32.03,,-27.75,,1,TRUE
1796-07-28,t,-7.35,0.18,30.56,0.74,-2.62,0.7,2,TRUE
1796-07-29,t_H,-7.22,0.35,31.59,0.5,12.18,0.47,2,TRUE
1796-07-29,t_I,-5.93,0.4,1.93,0.21,-17.35,0.17,2,TRUE
1796-07-30,t_H,-6.88,1,32.41,2.11,25.76,2.06,2,TRUE
1796-07-30,t_I,-5.15,1.28,2.02,0.42,-4.63,0.46,2,TRUE
1796-07-31,t_H,-9.32,,31.95,,38.07,,1,TRUE
1796-07-31,t_I,-5.55,,4.21,,10.27,,1,TRUE
1796-09-01,t_K,10.19,0.39,224.53,1.51,-66.09,1.51,2,TRUE
1796-09-01,t_L,13.32,0.31,225.02,0.11,-65.6,0.11,2,TRUE
1796-09-02,t_K,11.02,0.57,222.64,0.78,-54.77,0.73,3,TRUE
1796-09-02,t_L,13.69,0.41,223.03,0.4,-54.38,0.41,3,TRUE
1796-09-02,t_M,-13.18,,231.89,,-45.46,,1,TRUE
1796-09-02,t_N,-14.74,,225.72,,-51.62,,1,FALSE
1796-09-04,t_K,10.31,,222.2,,-23.91,,1,TRUE
1796-09-04,t_L,15.18,1.79,222.25,0.52,-23.8,0.45,2,TRUE
1796-09-04,t_M,-14.19,0.43,232.16,0.21,-13.9,0.14,2,TRUE
1796-09-05,t_L,14.57,0.13,221.88,0.38,-15.3,0.35,2,TRUE
1796-09-05,t_M,-13.79,0.29,232.38,0.47,-4.8,0.44,2,TRUE
1796-09-06,t_L,13.73,0.38,221.96,0.11,-2.22,0.14,2,TRUE
1796-09-06,t_M,-13.71,0.22,232.69,0.95,8.52,0.98,2,TRUE
1796-09-07,t_L,13.79,0.12,222.04,0.45,10.52,0.42,2,TRUE
1796-09-07,t_M,-14.32,0.21,232.36,0.98,20.83,1.02,2,TRUE
1796-09-08,t_M,-13.95,0.06,232.62,0.06,34.81,0.09,2,TRUE
1796-09-09,t_L,12.73,0.1,221.51,0.35,36.87,0.33,2,TRUE
1796-09-10,t_L,13.39,0.37,220.69,0.33,49.05,0.37,2,TRUE
1796-09-11,t_L,13.2,0.24,220.55,0.18,62.03,0.15,2,TRUE
1796-09-12,t_L,16.77,,217.81,,72.7,,1,TRUE
1796-10-13,t_N,3.9,0.33,24.72,0.25,-71.77,0.21,2,TRUE
1796-10-14,t_N,3.58,0.4,24.37,0.86,-57.54,1.95,4,TRUE
1796-10-23,t_N,4.48,0.08,36.48,2.81,74.14,2.72,2,TRUE
1796-11-13,t,4.08,1.22,52.63,0.13,7.21,0.18,2,TRUE
1798-11-20,t,9.72,,16.44,,-23.69,,1,FALSE
1798-11-23,t,2.05,,8.35,,7.73,,1,FALSE
1798-12-20,t,3.79,1.21,6.35,0.55,5.42,0.59,3,TRUE
1798-12-21,t,1.61,1.72,7.45,0.64,19.62,0.7,5,TRUE
1799-02-24,t_1,7.3,2.65,214.48,0.41,-0.85,0.45,3,TRUE
1799-02-24,t_2,5.63,2.56,202.51,0.92,-12.82,0.91,3,TRUE
1799-02-26,t_1,8.87,,215.59,,26.69,,1,TRUE
1799-02-26,t_2,6.54,,203.4,,14.51,,1,TRUE
1799-03-27,t,6.52,,204.52,,39.77,,1,TRUE
1799-03-28,t,5.02,0,204.67,0.02,54.93,0,2,TRUE
1799-10-29,t,-28.76,0.48,139.99,1.37,-49.22,1.42,3,TRUE
1800-10-11,t,26.33,,274.88,,-15.68,,1,TRUE
1800-10-12,t,28.11,,275.15,,-2.23,,1,TRUE
1800-10-14,t,25.93,,273.07,,22.06,,1,TRUE
1806-02-25,t,-12.9,0.42,251.91,0.55,-50.9,0.59,5,TRUE
1813-02-03,t,10.27,0.66,276.44,1.25,-46.5,1.32,3,TRUE
1813-02-04,t,10.56,0.92,277.44,0.32,-32.5,0.3,6,TRUE
1813-02-05,t,9.54,0.78,278.34,0.32,-18.58,0.34,6,TRUE
1813-02-06,t,10.8,0.44,278.59,0.36,-4.67,0.41,6,TRUE
1813-02-08,t,10.09,0.77,279.73,0.25,22,0.21,6,TRUE
1813-04-04,t,28.33,0.65,186.71,0.8,-66.53,0.79,4,TRUE
1813-04-05,t,26.28,0.61,190.16,0.8,-48.67,0.85,4,TRUE
1813-04-06,t,26.88,0.4,189.84,1.09,-36.64,1.18,3,TRUE
1813-04-07,t,27.07,0.44,189.53,0.58,-23.7,0.66,3,TRUE
1813-04-08,t,25.86,0.25,189.46,0.59,-10.57,0.49,3,TRUE
1813-04-09,t_a,25.69,1.73,188.93,0.37,2.34,0.47,3,TRUE
1813-04-09,t_b,18.87,0.91,153.71,0.65,-32.88,0.74,3,TRUE
1813-04-10,t_a,25.87,1.06,188.53,0.31,14.78,0.39,3,TRUE
1813-04-10,t_b,20.71,0.64,154.28,0.14,-19.46,0.09,3,TRUE
1813-04-11,t_a,24.5,1.27,188.17,0.54,27.84,0.39,2,TRUE
1813-04-11,t_b,19,1.24,156.06,0.77,-4.29,0.62,2,TRUE
1813-04-12,t_a,24.38,0.67,187.03,0.18,39.83,0.25,3,TRUE
1813-04-12,t_b,18.3,0.54,155.29,0.49,8.1,0.48,3,TRUE
1813-04-13,t_b,18.61,0,154.96,0.1,21.65,0,3,TRUE
1813-04-14,t_b,19.08,0.86,153.98,0.37,33.36,0.44,3,TRUE
1813-06-23,t_1,17.53,0,246.69,0.11,-27.41,0,2,TRUE
1813-06-23,t_2,19.35,1.2,237.78,1.19,-36.32,1.3,2,TRUE
1813-06-24,t_1,17.36,2.64,245.92,0.1,-14.71,0.19,2,TRUE
1813-06-28,t_1,17.84,0.65,245.97,0.62,38.66,0.53,2,TRUE
1813-07-26,t,10.69,0.51,129.43,1.1,-68.01,1.17,3,TRUE
1813-07-27,t_A,10.89,1.53,131.77,0.85,-52.77,0.74,3,TRUE
1813-07-28,t_A,12.37,0.05,133.46,0.78,-37.98,0.81,2,TRUE
1813-07-29,t,13.91,0,135.22,0.04,-23.04,0,2,TRUE
