Supplementary data 2 of Hayakawa et al. (2021, The Astrophysical Journal, 919, 1) 'Stephan Prantner’s Sunspot Observations during the Dalton Minimum'. The sunspot positions have been extracted from MS A07 03 07 in Stiftsarchiv Wilten.

Reference:
Hayakawa et al. (2021) Stephan Prantner’s Sunspot Observations during the Dalton Minimum, The Astrophysical Journal, DOI: 10.3847/1538-4357/abee1b

Abb. Meaning
------------------------------------------------------------------
Folio - Folio number for the said sunspot drawing;
YYYY - Year;
MM - Month;
DD - Date;
HH - Hour of the observational time in local time;
Element - arbitrary number for individual sunspots
BB - Heliographic latitude
LL - Calculated Carrington longitude
AREA - Individual sunspot area (msh)
TOYAL AREA - Total sunspot area for the day (msh)
LCM - Heliographic longitude from the central meridian.

The data blank shows the gap of observational data for the specified observational date.
------------------------------------------------------------------




       Folio        YYYY          MM          DD          HH     ELEMENT          BB          LL        AREA  TOTAL_AREA         LCM
          01        1804          01          11         012         E01      -12.74      118.79         271         998         8.6
          01        1804          01          11         012         E02        2.22      155.39          65         998        43.9
          01        1804          01          11         012         E03        2.79      159.40         234         998        48.0
          01        1804          01          11         012         E04        9.03      117.80         428         998         5.1
          02        1804          01          22         010         E01      -11.85      337.55         194         935        12.4
          02        1804          01          22         010         E02       29.04      358.72         741         935        24.3
          03        1804          01          25         009         E01       -4.48      343.36        1389        1809        55.2
          03        1804          01          25         009         E02        8.13      333.95         420        1809        43.4
          04        1804          03          12         012         E01       -8.00        1.17         670        1666       -26.0
          04        1804          03          12         012         E02       15.98       33.13         445        1666        10.9
          04        1804          03          12         012         E03       17.61       29.63          52        1666         7.9
          04        1804          03          12         012         E04       18.13       27.87         148        1666         6.2
          04        1804          03          12         012         E05       19.47       19.08         351        1666        -2.4
          05        1804          03          18         010         E01       -4.28      333.13         433        2231        24.4
          05        1804          03          18         010         E02       -3.75      328.97          53        2231        20.3
          05        1804          03          18         010         E03        3.21      372.05         493        2231        64.2
          05        1804          03          18         010         E04       31.50      369.08        1252        2231        65.1
          06        1812          01          03         012         E01       27.98      103.18         897         897       -68.1
          06        1812          01          05         012         E01       25.77      103.10         305         305       -41.4
          06        1812          01          07         012         E01       24.40       89.68         293         293       -28.1
          06        1812          01          08         012         E01       24.17       90.01         399         399       -14.2
          06        1812          01          09         012         E01       22.75      103.39         447         447        13.3
          06        1812          01          10         012         E01       22.60       95.54         428         428        18.8
          06        1812          01          11         012         E01       22.65       99.26         470         470        36.3
          06        1812          01          13         012         E01       21.92       91.28         528         528        55.2
          07        1812          01          24         013         E01      -15.92      209.54         541         541       -43.4
          07        1812          01          25         012         E01      -17.14      203.67         543         543       -36.5
          07        1812          01          26         010         E01      -18.63      201.22         461         461       -26.4
          07        1812          01          27         013         E01      -19.51      206.91         370         370        -8.5
          07        1812          01          28         013         E01      -19.85      200.83         399         472        -2.0
          07        1812          01          28         013         E02      -18.00      198.17          73         472        -4.2
          07        1812          01          29         013         E01      -19.72      198.26         402         461         8.1
          07        1812          01          29         013         E02      -18.51      195.14          59         461         5.4
          07        1812          01          30         013         E01      -20.00      194.51         389         491        17.1
          07        1812          01          30         013         E02      -18.52      191.22         102         491        14.2
          08        1812          02          25         013         E01       19.81      137.43         533         533       -31.9
