YYYY MM DD HH MI T    L0    B0   CMD LLL.L BBB.B M Q SS GROUP    MEASURER   MOD_L MOD_B SIGMA DELTA WSA
1861 01 07 12 00 0   -.-   -.-  99.9 322.1 -19.9 O 1  - 13       diercke      -.-   -.-  -.-   -.-   72
1861 01 07 12 00 0   -.-   -.-  99.9 319.6 -19.5 O 1  - 13       diercke      -.-   -.-  -.-   -.-   19
1861 01 07 12 00 0   -.-   -.-  99.9 320.1 -18.5 O 1  - 13       diercke      -.-   -.-  -.-   -.-   74
1861 01 07 12 00 0   -.-   -.-  99.9 317.7 -16.4 O 1  - 13       diercke      -.-   -.-  -.-   -.-  845
1861 01 09 12 00 0   -.-   -.-  99.9 292.8 -17.2 O 1  - 12       diercke      -.-   -.-  -.-   -.-   44
1861 01 26 12 00 0   -.-   -.-  99.9  65.1 -15.1 O 1  - 5        diercke      -.-   -.-  -.-   -.-  405
1861 01 09 12 00 0   -.-   -.-  99.9 288.1 -16.2 O 1  - 12       diercke      -.-   -.-  -.-   -.-   18
1861 01 07 12 00 0   -.-   -.-  99.9 321.7 -15.1 O 1  - 13       diercke      -.-   -.-  -.-   -.-  118
1861 01 09 12 00 0   -.-   -.-  99.9 285.7 -15.6 O 1  - 12       diercke      -.-   -.-  -.-   -.-   28
1861 01 25 12 00 0   -.-   -.-  99.9  72.7 -14.0 O 1  - 6        diercke      -.-   -.-  -.-   -.-  440
1861 01 09 12 00 0   -.-   -.-  99.9 290.0 -14.8 O 1  - 12       diercke      -.-   -.-  -.-   -.-   83
1861 01 09 12 00 0   -.-   -.-  99.9 294.0 -15.1 O 1  - 12       diercke      -.-   -.-  -.-   -.-   22
1861 01 09 12 00 0   -.-   -.-  99.9 286.9 -15.1 O 1  - 12       diercke      -.-   -.-  -.-   -.-   21
1861 01 26 12 00 0   -.-   -.-  99.9  69.6 -14.8 O 1  - 5        diercke      -.-   -.-  -.-   -.-   34
1861 01 09 12 00 0   -.-   -.-  99.9 288.3 -14.7 O 1  - 12       diercke      -.-   -.-  -.-   -.-   23
1861 01 09 12 00 0   -.-   -.-  99.9 291.9 -14.4 O 1  - 12       diercke      -.-   -.-  -.-   -.-   28
1861 01 09 12 00 0   -.-   -.-  99.9 284.1 -14.6 O 1  - 12       diercke      -.-   -.-  -.-   -.-   17
1861 01 26 12 00 0   -.-   -.-  99.9  67.3 -11.4 O 1  - 5        diercke      -.-   -.-  -.-   -.-  474
1861 01 14 12 00 0   -.-   -.-  99.9 224.3 -13.6 O 1  - 10       diercke      -.-   -.-  -.-   -.-   28
1861 01 09 12 00 0   -.-   -.-  99.9 292.8 -13.7 O 1  - 12       diercke      -.-   -.-  -.-   -.-   10
1861 01 09 12 00 0   -.-   -.-  99.9 285.8 -13.5 O 1  - 12       diercke      -.-   -.-  -.-   -.-   23
1861 01 14 12 00 0   -.-   -.-  99.9 226.3 -12.6 O 1  - 10       diercke      -.-   -.-  -.-   -.-   92
1861 01 20 12 00 0   -.-   -.-  99.9 143.4 -12.9 O 1  - 8        diercke      -.-   -.-  -.-   -.-   36
1861 01 26 12 00 0   -.-   -.-  99.9  69.2 -12.9 O 1  - 5        diercke      -.-   -.-  -.-   -.-   16
1861 01 25 12 00 0   -.-   -.-  99.9  75.6 -12.5 O 1  - 6        diercke      -.-   -.-  -.-   -.-   18
1861 01 25 12 00 0   -.-   -.-  99.9  76.8 -11.8 O 1  - 6        diercke      -.-   -.-  -.-   -.-   29
1861 01 25 12 00 0   -.-   -.-  99.9  79.9 -10.5 O 1  - 6        diercke      -.-   -.-  -.-   -.-  554
1861 01 14 12 00 0   -.-   -.-  99.9 227.8 -11.2 O 1  - 10       diercke      -.-   -.-  -.-   -.-   65
1861 01 20 12 00 0   -.-   -.-  99.9 144.4 -11.5 O 1  - 8        diercke      -.-   -.-  -.-   -.-   43
1861 01 20 12 00 0   -.-   -.-  99.9 142.1 -11.5 O 1  - 8        diercke      -.-   -.-  -.-   -.-   42
1861 01 25 12 00 0   -.-   -.-  99.9  71.9 -11.2 O 1  - 6        diercke      -.-   -.-  -.-   -.-   24
1861 01 25 12 00 0   -.-   -.-  99.9  76.0 -11.2 O 1  - 6        diercke      -.-   -.-  -.-   -.-    8
1861 01 14 12 00 0   -.-   -.-  99.9 224.9 -10.8 O 1  - 10       diercke      -.-   -.-  -.-   -.-   20
1861 01 25 12 00 0   -.-   -.-  99.9  76.5 -10.5 O 1  - 6        diercke      -.-   -.-  -.-   -.-    9
1861 01 14 12 00 0   -.-   -.-  99.9 222.8 -10.5 O 1  - 10       diercke      -.-   -.-  -.-   -.-   15
1861 01 31 12 00 0   -.-   -.-  99.9   3.4  -7.9 O 1  - 2        diercke      -.-   -.-  -.-   -.-   42
1861 01 31 12 00 0   -.-   -.-  99.9   5.1  -7.6 O 1  - 2        diercke      -.-   -.-  -.-   -.-   76
1861 01 31 12 00 0   -.-   -.-  99.9   6.8  -5.9 O 1  - 2        diercke      -.-   -.-  -.-   -.-   34
1861 01 31 12 00 0   -.-   -.-  99.9   3.1  -5.4 O 1  - 2        diercke      -.-   -.-  -.-   -.-   48
1861 01 21 12 00 0   -.-   -.-  99.9 129.5  -1.6 O 1  - 7        diercke      -.-   -.-  -.-   -.-  466
1861 01 25 12 00 0   -.-   -.-  99.9  74.4   5.2 O 1  - 4        diercke      -.-   -.-  -.-   -.-   58
1861 01 25 12 00 0   -.-   -.-  99.9  76.5   5.7 O 1  - 4        diercke      -.-   -.-  -.-   -.-   50
1861 01 25 12 00 0   -.-   -.-  99.9  78.6   5.6 O 1  - 4        diercke      -.-   -.-  -.-   -.-   22
1861 01 25 12 00 0   -.-   -.-  99.9  81.0   6.9 O 1  - 4        diercke      -.-   -.-  -.-   -.-   44
1861 01 25 12 00 0   -.-   -.-  99.9  75.5   7.3 O 1  - 4        diercke      -.-   -.-  -.-   -.-   61
1861 01 25 12 00 0   -.-   -.-  99.9  77.1   7.1 O 1  - 4        diercke      -.-   -.-  -.-   -.-   37
1861 01 25 12 00 0   -.-   -.-  99.9  79.9   7.2 O 1  - 4        diercke      -.-   -.-  -.-   -.-   14
1861 01 25 12 00 0   -.-   -.-  99.9  79.1   7.4 O 1  - 4        diercke      -.-   -.-  -.-   -.-   22
1861 01 12 12 00 0   -.-   -.-  99.9 257.7   8.4 O 1  - 11       diercke      -.-   -.-  -.-   -.-   35
1861 01 12 12 00 0   -.-   -.-  99.9 260.1   9.9 O 1  - 11       diercke      -.-   -.-  -.-   -.-  436
1861 01 12 12 00 0   -.-   -.-  99.9 255.8   8.5 O 1  - 11       diercke      -.-   -.-  -.-   -.-   34
1861 01 12 12 00 0   -.-   -.-  99.9 263.1   8.7 O 1  - 11       diercke      -.-   -.-  -.-   -.-   21
1861 01 25 12 00 0   -.-   -.-  99.9  80.3   8.9 O 1  - 4        diercke      -.-   -.-  -.-   -.-   40
1861 01 25 12 00 0   -.-   -.-  99.9  78.4   8.9 O 1  - 4        diercke      -.-   -.-  -.-   -.-   25
1861 01 12 12 00 0   -.-   -.-  99.9 263.0  10.5 O 1  - 11       diercke      -.-   -.-  -.-   -.-   41
1861 01 17 12 00 0   -.-   -.-  99.9 182.6  11.9 O 1  - 9        diercke      -.-   -.-  -.-   -.-  411
1861 01 12 12 00 0   -.-   -.-  99.9 257.1  10.8 O 1  - 11       diercke      -.-   -.-  -.-   -.-   41
1861 01 12 12 00 0   -.-   -.-  99.9 254.4  10.6 O 1  - 11       diercke      -.-   -.-  -.-   -.-   13
1861 01 17 12 00 0   -.-   -.-  99.9 194.8  12.2 O 1  - 9        diercke      -.-   -.-  -.-   -.-  381
1861 01 30 12 00 0   -.-   -.-  99.9  16.5  12.0 O 1  - 1        diercke      -.-   -.-  -.-   -.-   21
1861 01 17 12 00 0   -.-   -.-  99.9 184.9  12.4 O 1  - 9        diercke      -.-   -.-  -.-   -.-    8
